id,start,end,event,size,state
421,1164694,1236627,0,3545,1
421,1236627,1250616,1,3551,1
424,0,940073,0,186,0
429,529267,1925158,0,259,1
916,152501,201516,1,738,1
433,144930,739814,1,78,1
433,739814,839344,1,78,1
923,832096,1338414,0,339,1
923,1338414,1717380,1,339,1
925,847930,1338412,0,874,1
929,1354857,1717378,1,175,1
930,1142005,1338413,0,175,1
930,1338413,1354857,1,171,1
930,1717376,1840382,1,166,1
434,44553,936412,0,361,1
439,0,118647,0,16,0
934,6453,6571,0,145,1
934,9895,14457,0,62,1
943,0,529482,0,12,0
949,0,2209,1,199,0
949,2209,7832,1,203,1
957,0,952145,0,27,0
982,0,529533,0,8,0
985,0,952145,0,11,0
990,0,18590,0,8,0
992,0,533726,0,8,0
963,0,9838,0,7,0
965,2209,2738,1,54,1
970,16813,535932,0,281,1
443,0,1338416,0,79,0
449,0,372650,0,27,0
450,0,372650,0,128,0
450,387051,548336,0,165,0
451,0,49585,0,6,0
456,0,4423,0,67,0
456,55791,84609,0,76,0
456,85947,88830,1,77,0
456,449011,491146,0,79,1
456,491146,1923848,0,79,1
458,0,54429,0,4,0
458,54429,84609,0,5,0
460,100732,110637,0,10,0
461,751,10101,0,21,0
461,21889,32042,0,85,1
461,110055,114036,0,108,1
461,338678,356485,1,115,1
462,0,25879,1,50,0
464,0,55791,0,25,0
464,113786,410351,0,38,0
466,548362,1923848,0,7,1
467,3321,129571,1,5,1
468,91976,94591,1,8,0
469,97961,113784,0,21,0
472,0,76514,0,8,0
473,106972,113782,0,117,1
473,387198,387405,0,203,1
477,110530,113785,0,11,0
477,177064,179814,1,38,0
480,84609,104081,0,7,0
482,371484,385989,0,42,1
485,104081,106975,0,6,1
486,7682,293452,0,5,0
491,315269,321036,0,14,1
494,7681,17769,0,7,1
494,331222,1827447,0,16,1
497,54429,55790,0,16,0
497,390124,392727,0,99,1
497,449219,449673,0,124,1
498,0,5,0,145,0
498,23753,29893,0,226,1
498,42854,44675,0,299,1
498,84517,85908,0,476,1
498,332113,335005,0,568,1
498,335005,337887,1,571,1
498,415860,422899,1,605,1
500,50328,53394,0,438,0
500,85944,86458,0,817,1
500,87475,88825,1,849,1
500,137823,149668,0,2421,1
500,149668,155449,0,2445,1
500,387024,387179,0,3646,1
502,336525,336553,1,82,1
502,539579,1919416,0,39,1
507,84405,91973,0,11,1
507,307630,336803,1,20,1
507,362262,486718,0,22,1
515,85947,88830,1,32,1
515,312055,341228,1,40,1
515,342136,346891,1,41,1
515,346891,387410,0,41,1
515,391214,392703,0,68,1
519,0,21670,0,36,0
519,77866,138355,0,48,1
523,0,698,1,17,0
524,230395,246040,0,43,1
524,402173,1818686,0,115,1
526,0,1532,0,23,0
526,327196,405198,0,107,1
526,422001,455442,1,109,1
532,169820,192778,0,76,1
532,269085,274610,0,76,1
533,33221,35976,1,6,0
535,141016,146541,0,52,1
535,146541,164124,1,12,1
537,169464,222907,1,17,1
539,0,1432856,0,6,0
541,110530,113785,0,6,1
542,192779,201512,1,7,1
543,54429,84609,0,4,0
550,85042,1510704,0,9,1
554,18992,40740,0,27,0
558,0,544272,0,14,0
560,606014,957635,0,6,1
561,0,1338416,0,28,0
566,0,1059710,0,25,0
571,0,42081,1,42,0
571,42081,931463,0,42,1
581,0,401,1,32,0
1014,0,1862906,0,249,0
592,0,152684,1,201,0
592,722304,1020411,1,274,1
1018,732715,773636,0,204,0
1022,1111681,1360025,0,27,1
1024,1837328,1935205,1,467,1
1025,1289119,1360022,0,237,1
1026,732713,805667,1,162,1
1029,0,1003009,0,194,0
1032,150527,529493,1,240,0
1033,1003009,1381975,1,81,0
1035,657320,1003008,0,462,1
1036,22117,401083,1,141,0
1038,150527,529493,1,113,0
1047,0,1338416,0,73,0
1050,1717381,1936311,1,3147,1
1051,0,1338416,0,241,0
1051,1338416,1717382,1,234,0
1052,0,1248562,1,328,0
1052,1717381,1965725,0,313,1
1054,1338415,1717381,1,230,1
595,0,5819,1,268,0
595,15584,181276,1,275,1
595,210021,967872,0,275,1
1059,216398,378680,1,340,1
1060,216398,378680,1,253,1
625,333560,401161,0,151,1
628,0,4849,0,170,0
629,83,25884,0,136,1
631,0,163760,0,36,0
632,333559,334283,1,54,1
634,0,163760,0,303,0
635,47094,298031,1,436,1
641,122056,163760,0,198,1
600,0,851476,0,7,0
602,0,826314,0,18,0
1094,0,37585,1,643,0
1094,728356,1004952,1,744,1
1096,694246,697165,1,818,1
1096,698491,705402,1,824,1
1096,896040,1026460,1,824,1
1096,1511595,1523139,1,814,1
1113,74718,178302,1,850,1
1114,351911,373867,1,896,1
1114,567233,630492,1,991,1
1114,1050027,1056734,1,967,1
1114,1093348,1118752,1,953,1
1114,1358523,1358871,1,1008,1
1114,1358871,1368321,1,1041,1
1117,0,50359,1,26,0
1119,0,1286578,0,582,0
1123,141857,205116,1,22,1
1123,774731,933485,1,21,1
1106,322875,605717,1,327,1
1107,0,29759,1,8,0
1108,19478,1525088,0,373,1
1111,1717382,1936289,1,149,1
1066,0,14338,1,5,0
1128,505462,515760,1,364,1
1071,0,1631353,0,7,0
1133,1717381,1965725,0,60,1
1140,114953,336949,0,275,1
1077,0,297972,1,54,0
1149,55493,477008,1,6,1
1081,42969,1897571,0,185,1
1151,0,5883,1,402,0
1151,299350,522698,1,552,1
1151,1026823,1026923,1,591,1
1151,1029602,1029615,1,602,1
1156,34172,660261,1,25,1
1157,283013,626279,1,56,1
1154,336968,676599,1,139,1
1155,26036,36783,1,263,1
1159,0,25429,1,90,0
1160,0,24327,1,197,0
1163,829116,1280521,1,830,1
1166,143721,855430,0,344,0
1166,855430,1338414,0,375,0
1167,0,207165,1,27,0
1167,207165,558786,0,27,1
1171,0,51674,0,16,0
1172,775,1560,1,23,1
1173,255748,616815,0,23,1
1175,469,19757,1,13,1
1176,24368,336837,1,45,1
1177,629680,714365,1,15,1
1083,0,1228,1,4,0
1089,289893,290918,1,4,1
1090,290918,296777,0,4,1
1093,289691,289893,1,89,1
1185,631071,879415,0,113,1
1189,0,76197,0,90,0
1192,11909,31437,1,137,1
1192,78723,111562,1,180,1
1193,0,66285,1,97,0
1196,1617,80711,1,102,1
1205,0,1859314,0,240,0
1206,21091,23434,0,215,1
1206,32163,80013,0,221,1
1206,759654,847604,1,249,1
1206,847967,856345,1,279,1
1213,0,1115562,0,10,0
1214,65446,84024,1,734,1
1216,278167,971790,1,352,1
1219,444567,683257,1,2590,1
1292,11157,951134,1,467,1
1297,0,159,0,255,0
1297,5416,358511,0,295,1
1298,0,159,0,137,0
1299,0,301808,0,254,0
1300,364463,531497,0,335,1
1301,3089,3272,0,870,1
1302,0,1045384,0,48,0
1303,0,63299,1,46,0
1311,1051781,1190996,1,142,1
1232,227025,355783,1,52,0
1232,367633,392740,1,52,1
1323,0,14482,0,41,0
1323,706485,749961,1,51,1
1326,0,545804,1,86,0
1332,735601,814916,1,2517,1
1333,408915,439664,1,2600,1
1333,439664,445391,1,2597,1
1333,735329,735444,1,2521,1
1333,735444,735601,1,2499,1
1337,875287,1633138,0,40,1
1344,0,442274,0,21,0
1345,0,1813844,0,21,0
1349,66289,67548,0,29,1
1352,27240,42858,1,36,1
1357,0,572044,0,30,0
1360,135035,256664,1,165,1
1362,166243,174924,1,464,1
1238,5008,7544,1,47,1
1238,7544,25449,1,50,1
1238,162712,257703,1,56,1
1240,0,1787365,0,60,0
1241,28793,39247,1,91,1
1241,39247,58095,0,106,1
1241,58095,58620,1,102,1
1241,58620,162330,1,111,1
1372,0,989437,0,226,0
1374,1180170,1350839,0,43,1
1380,0,402889,0,190,0
1382,53453,112492,1,187,1
1384,0,238,1,542,0
1384,642,115154,1,544,1
1384,153454,165821,1,541,1
1384,368192,380454,1,593,1
1384,1018296,1020172,1,551,1
1384,1226135,1227206,1,539,1
1392,0,617669,0,147,0
1394,292117,300270,0,130,1
1394,510060,590478,1,174,1
1395,0,958,1,106,0
1397,617546,636618,1,1323,1
1398,282487,1016300,1,1052,1
1400,0,120805,1,85,0
1244,201410,950195,1,174,1
1249,0,9108,1,154,0
1250,194911,616039,1,15,0
1253,227742,396208,1,286,1
1253,580251,580720,1,289,1
1253,601713,603847,0,289,1
1257,227742,478154,1,396,1
1257,662662,691248,1,417,1
1257,994848,1076881,1,396,1
1261,79553,340151,0,138,1
1265,519139,982646,1,21,1
1267,46,7066,1,158,1
1268,54488,90545,1,1050,1
1268,90545,182356,0,1059,1
1269,286301,342487,0,1053,1
1271,0,846,1,15,0
1274,80282,80351,0,119,1
1277,0,3824,1,20,0
1279,0,81991,0,1,0
1280,0,1784412,0,1,0
1282,0,1784412,0,7,0
1284,38990,49848,0,41,1
1404,1104289,1431067,1,83,1
1444,0,943536,0,69,0
1447,0,1136111,0,3,0
1450,1051203,1820685,0,159,1
1452,513909,1936838,0,251,1
1462,0,475147,0,256,0
1472,38595,72964,1,229,1
1474,58,156,1,20,1
1484,12457,12599,0,29,1
1485,0,122767,0,40,0
1486,0,465461,0,18,0
1496,548346,614386,1,494,1
1500,0,500875,1,143,0
1508,0,501969,0,143,0
1509,614386,828930,1,644,1
1511,0,197093,1,339,0
1517,0,497168,0,19,0
1519,6062,446973,1,15,0
1519,497153,1556863,0,16,1
1535,0,41600,0,19,0
1556,0,41665,0,70,0
1563,0,41600,0,16,0
1564,0,41600,0,27,0
1567,0,5300,1,80,0
1567,5300,41665,0,81,1
1410,766911,927799,0,23,0
1411,0,564843,1,187,0
1574,1120539,1133481,1,755,1
1574,1154154,1168044,1,769,1
1579,108205,128293,0,852,1
1581,1266900,1306532,1,4542,1
1581,1316247,1330224,1,4549,1
1581,1669545,1681855,1,5357,1
1582,1190343,1716150,0,109,1
1585,51681,1584570,1,139,1
1588,0,140348,0,1086,0
1417,424201,441375,0,1370,1
1422,29314,39833,1,206,1
1427,0,39,1,97,0
1427,629625,795178,0,110,1
1431,1338415,1717381,1,44,1
1432,1272451,1275094,1,37,1
1433,0,138021,1,26,0
1433,808739,1241228,0,32,1
1429,0,88,1,87,0
1429,88,262202,0,87,1
1434,21635,362690,1,63,1
1435,7368,21633,1,367,1
1435,410189,479650,1,377,1
1437,191078,232737,1,342,1
1590,0,475147,0,62,0
1591,60680,620859,0,348,0
1599,59894,60678,0,535,1
1600,5840,16853,0,936,1
1600,201410,547171,1,1021,1
1600,844654,1082053,1,1010,1
1601,0,1847,0,581,0
1603,2688,2802,0,131,0
1603,711080,738306,1,157,1
1603,738306,843541,1,149,1
1606,1065202,1134912,1,190,1
1607,639541,1860606,0,57,1
1613,0,359139,0,41,0
1440,0,181409,0,230,0
1441,1332243,1566795,1,230,1
1616,996270,1147469,1,44,1
1617,683963,996270,1,44,1
1628,0,50176,0,366,0
1629,1182631,1391011,1,3888,1
1629,1835268,1945518,0,4067,1
1653,0,211538,0,15,0
1663,3533,59255,0,71,0
1664,244363,906762,0,537,1
1665,1236180,1237605,1,539,1
1669,132533,132545,1,787,1
1669,132640,319946,1,787,1
1670,366842,371184,1,695,1
1670,663577,743898,1,760,1
1678,0,227729,1,549,0
1678,876919,984694,1,459,1
1678,1845806,1859080,0,114,1
1680,629543,981152,0,154,1
1693,497168,1527464,1,171,0
1696,1725269,1965723,0,314,1
1697,0,1338416,0,80,0
1699,0,426444,1,6,0
1699,1275585,1627206,0,6,1
1672,1338415,1717381,1,52,1
1704,43517,507024,1,11,1
1709,1635862,1672100,1,411,1
1721,1598329,1944324,0,1833,1
1723,1474454,1820447,0,1001,1
1727,1232260,1804446,0,176,1
1725,231283,231554,1,310,1
1725,1350203,1842541,1,291,1
1729,59797,285989,1,31,1
1732,0,144320,1,1780,0
1747,1043657,1476146,0,24,1
1751,965437,1056919,1,684,1
1752,1144609,1752060,0,613,1
1752,1752060,1792717,0,53,1
1755,0,1035812,0,64,0
1756,35773,185641,0,62,1
1757,0,231680,1,26,0
1758,281647,325055,1,221,1
1762,70619,102410,1,1962,1
1762,574586,599035,1,764,1
1762,737232,842559,1,758,1
1763,241508,242080,1,131,1
1763,684940,721036,1,131,1
1764,241508,242080,1,131,1
1764,242080,242901,1,131,1
1764,299309,399775,0,18,1
1676,1273555,1369153,1,550,1
1676,1369153,1513596,0,550,1
1768,0,106546,1,169,0
1770,951364,1041726,1,1694,1
1770,1041726,1055799,1,1696,1
1770,1690142,1930184,0,1640,1
1771,0,163197,0,18,0
1781,620435,622492,0,29,1
1785,654175,658223,1,185,1
1787,0,420997,0,691,0
1787,420997,424567,0,45,0
1789,420997,475147,0,843,0
1792,0,420997,0,31,0
1800,0,656765,0,25,0
1804,114905,123452,0,1250,1
1804,475198,476058,1,898,1
1804,489830,516667,1,907,1
1804,531102,563978,1,619,1
1804,565248,586084,1,624,1
1804,598599,643469,1,616,1
1805,0,63335,1,1298,0
1805,174129,175490,1,69,1
1813,20296,63408,1,2773,0
1813,720233,727195,1,2769,1
1813,727195,731687,1,2883,1
1814,211521,270032,1,3869,1
1814,329546,329724,0,4226,1
1814,329724,347313,1,4226,1
1814,522661,605072,1,4291,1
1776,0,340817,0,123,0
1777,916361,917776,1,251,1
1815,0,419617,0,242,0
1817,798582,949370,1,124,1
1779,199,468241,0,222,1
1928,0,628060,0,36,0
1828,964772,1086040,1,57,1
1837,374137,442376,1,64,1
1837,1525562,1947984,0,129,1
1839,0,68239,1,57,0
1840,224011,1573848,0,89,1
1833,36578,440634,0,1013,1
1833,541708,1844067,0,1089,1
1845,135299,140999,1,9885,1
1845,442317,443501,0,11150,1
1845,513690,524019,1,11323,1
1845,537267,545044,0,11353,1
1845,545044,592871,1,12363,1
1845,909871,1225813,1,12247,1
1845,1225813,1362054,1,12262,1
1845,1584274,1585284,1,12132,1
1843,218820,224881,1,5802,1
1843,407444,510846,1,5969,1
1852,0,220555,0,96,0
1853,605877,1525214,0,74,1
1854,0,170269,0,22,0
1862,1402583,1554130,1,44,1
1862,1554130,1918452,0,55,1
1863,0,97302,1,51,0
1872,1438336,1705486,1,137,1
1873,0,43804,1,74,0
1873,51571,64964,1,804,1
1873,100348,101681,1,76,1
1873,192442,199501,1,773,1
1873,458067,459148,1,536,1
1874,101679,108766,1,80,1
1874,108766,110794,1,80,1
1874,149641,250107,0,89,1
1879,374137,396032,1,192,1
1879,583814,598148,1,195,1
1879,1380305,1399240,1,195,1
1879,1641129,1697158,1,195,1
1876,224012,1573849,0,32,1
1880,867065,888563,0,176,1
1881,409280,413546,1,219,1
1881,549675,639093,1,186,1
1881,639093,715858,1,193,1
1881,910914,982158,0,271,1
1882,41972,51752,1,115,1
1882,413547,549676,1,69,1
1882,744073,810268,1,70,1
1885,0,290683,1,26,0
1896,290805,630575,1,14,1
1897,93880,153216,1,651,0
1897,165388,216540,0,641,1
1897,216540,290680,1,649,1
1898,698301,818973,1,518,1
1899,0,417356,1,396,0
1901,0,43385,1,19,0
1905,0,1212217,0,96,0
1906,0,1964,1,57,0
1907,410692,439716,1,79,1
1908,354404,931467,0,37,1
1911,0,51752,1,22,0
1911,51752,267488,1,12,1
1913,0,223330,0,49,0
1940,994265,1089709,1,2828,1
1940,1089709,1155972,1,2822,1
1940,1155972,1173433,1,2864,1
1940,1458199,1522811,1,2993,1
1941,0,1939845,0,113,0
1944,672723,1255556,0,23,1
1947,1231269,1464518,0,469,1
1949,226262,512989,1,1066,1
1949,573004,574112,1,1027,1
1949,880145,885673,1,1032,1
1949,885673,912618,1,1030,1
1950,0,1703362,1,203,0
1953,476712,675172,1,164,1
1956,1406667,1703361,1,486,1
1915,1490021,1717379,1,164,1
1917,1054979,1338414,0,99,1
1921,0,1859314,0,99,0
1962,1583534,1625538,0,22,1
1967,0,150378,0,7,0
1968,1387300,1537678,0,16,1
1985,0,1774861,1,6,0
1987,1264135,1414513,0,7,1
1995,1150814,1264133,1,12,1
1973,549720,751204,1,11,1
1974,616040,1082459,0,1,1
1976,0,616040,1,1,0
1979,204333,667840,1,5,1
2030,0,197034,1,54,0
2030,1588676,1602491,1,61,1
2034,0,643210,1,19,0
1997,31436,111562,1,27,1
1999,1000603,1098913,1,277,1
2039,1495160,1696403,1,17,1
2001,411884,557608,0,9,0
2003,0,145724,0,9,0
2008,0,106068,0,7,0
2010,707558,925319,0,9,1
2018,0,153972,0,17,0
2016,88,112161,1,10,1
2040,0,37545,1,7,0
2040,37545,187923,0,7,1
2057,1820955,1936496,0,23,1
2061,0,476318,0,7,0
2063,0,39214,0,6,0
2065,485859,486645,1,439,1
2070,276540,295086,0,35,0
2072,0,556545,0,5,0
2080,1115780,1501414,1,7,1
2087,0,150339,0,10,0
2091,1421535,1703982,1,4,1
2095,0,1220806,0,8,0
2259,34856,545224,1,412,0
2260,168702,233394,1,1368,1
2261,640713,668899,1,395,1
2261,668899,696820,0,395,1
2261,723142,750017,1,396,1
2261,1375949,1467958,1,447,1
2263,0,467484,1,600,0
2264,141022,287376,1,473,1
2265,0,28435,0,457,0
2267,838016,894288,1,1207,1
2272,739814,1497665,0,54,1
2275,0,349471,1,316,0
2275,349471,874668,1,414,1
2116,9675,21147,1,41,1
2116,21365,51678,0,40,1
2279,0,1486909,1,257,0
2280,1181785,1246456,1,324,1
2292,0,475147,0,62,0
2293,31437,59957,0,35,1
2293,390527,1247671,0,44,1
2295,278964,1136110,0,30,1
2300,0,1073,0,485,0
2300,1073,5994,1,469,0
2122,1406600,1556864,0,11,0
2126,0,234556,1,33,0
2126,1394797,1927932,0,47,1
2129,0,1716865,0,17,0
2132,202122,1272589,1,7,1
2134,355847,505862,0,10,1
2141,0,45840,1,5,0
2147,1423557,1459677,1,22,1
2152,1210562,1417418,1,99,1
2152,1417418,1436007,1,117,1
2198,1694871,1716083,1,25,1
2203,781286,797333,0,26,1
2203,898241,1121492,1,24,1
2204,0,241506,0,15,0
2206,0,150378,0,6,0
2207,3824,31436,1,21,1
2163,926213,1076350,0,17,1
2172,724730,926214,1,6,1
2178,0,339096,1,18,0
2179,0,339096,1,9,0
2181,339096,724730,1,6,1
2182,486182,636319,0,5,1
2184,0,49322,0,9,0
2185,0,259136,1,11,0
2185,435389,724729,1,10,1
2188,465594,817215,0,7,1
2190,0,643548,1,6,0
2193,0,257967,0,8,0
2211,1146307,1531941,1,15,1
2211,1778445,1883561,0,15,1
2216,422911,1370644,1,32,1
2221,1292678,1443056,0,16,1
2224,655135,1325853,1,8,1
2224,1325853,1595340,0,8,1
2225,0,13718,1,8,0
2227,624282,825766,1,6,1
2230,0,1575301,0,20,0
2233,675054,817578,1,71,1
2233,837852,929542,1,174,1
2234,0,41665,0,12,0
2235,0,9191,1,64,0
2235,563938,846451,0,63,1
2235,1233661,1241900,1,59,1
2235,1777546,1886259,1,67,1
2235,1886259,1927924,0,83,1
2236,1777555,1886268,1,16,1
2237,0,313726,1,5,0
2238,0,1291013,0,7,0
2240,837689,1777556,1,8,1
2253,0,550140,0,7,0
2255,575867,725908,0,7,1
2319,0,1698316,0,23,0
2302,0,1631343,0,60,0
2303,64348,499464,0,475,1
2321,0,18886,1,923,0
2321,18912,19035,0,934,1
2321,191450,191909,0,1235,1
2321,401754,503681,1,1307,1
2321,677126,776583,0,1317,1
2322,8276,130252,0,20,0
2322,130252,142218,1,20,0
2306,1520516,1522301,1,905,1
2310,65305,70365,1,253,1
2312,0,67180,1,148,0
2344,1532608,1570528,1,67,1
2345,756518,807651,1,15,0
2345,807651,1135484,1,15,1
2348,0,18298,1,24,0
2348,679710,752960,1,139,1
2348,752960,794857,1,139,1
2349,410988,449209,1,30,1
2349,984862,991851,0,520,1
2349,1195857,1266027,1,314,1
2350,558472,667771,0,29,1
2328,15320,541423,1,400,0
2328,585195,762474,1,359,1
2329,0,15320,0,264,0
2329,777266,910902,1,255,1
2330,0,747154,1,93,0
2333,1338416,1717382,1,25,0
2356,0,163170,1,160,0
2359,296217,380339,1,37,1
2361,335,585,1,328,1
2361,19076,40902,0,377,1
2364,1235573,1421532,1,134,1
2365,57861,253001,1,38,0
2365,254461,295314,1,6821,1
2366,0,113306,1,51,0
2366,262981,488911,1,50,1
2368,356492,361768,1,628,1
2370,0,633906,0,27,0
2337,841724,1090068,0,35,1
2387,0,36355,0,10,0
2393,0,36355,0,10,0
2397,107188,1944123,0,66,1
2398,21539,53683,1,230,1
2401,1609998,1683162,1,242,1
2375,0,164,1,17,0
2405,98726,98790,1,87,1
2405,209883,540848,1,86,1
2406,423178,437444,1,227,1
2406,767377,838974,0,218,1
2406,838974,954294,0,217,1
2416,0,573268,0,277,0
2417,0,19889,0,30,0
2377,21233,74827,1,288,1
2377,76276,156597,1,276,1
2425,808837,812574,1,181,1
2427,63431,126868,1,106,1
2429,461588,611263,1,335,1
2429,1056471,1321589,1,335,1
2431,676930,688900,1,385,1
2431,688900,1237016,1,393,1
2432,19681,19787,1,409,0
2432,19787,32673,1,409,1
2434,19681,21304,1,404,0
2434,32301,32672,1,453,1
2434,41336,45793,1,512,1
2435,220320,264890,0,78,1
2435,1088254,1846105,0,78,1
2437,983093,1454426,0,48,1
2437,1454426,1740944,0,74,1
2439,1024944,1124216,1,312,1
2440,1812120,1833862,0,353,1
2442,509564,1104448,1,140,1
2444,0,80708,0,39,0
2445,547626,1305477,0,11,1
2448,22703,45942,0,145,1
2470,0,598924,1,22,0
2478,0,452682,0,180,0
2481,0,1795448,0,243,0
2485,0,769016,0,79,0
2486,0,15862,1,119,0
2490,1031206,1043742,1,485,1
2493,1283819,1536540,0,647,1
2498,68719,270281,0,1499,1
2499,0,2921,1,522,0
2499,102224,102734,1,1067,1
2501,8849,8885,1,1797,1
2501,8885,10211,1,1798,1
2501,18657,20249,1,2100,1
2503,20192,21624,1,389,1
2504,4782,20192,1,18,1
2504,20192,44608,0,18,1
2510,8436,9774,0,874,1
2512,104,1377,1,73,1
2512,3025,7109,1,79,1
2516,0,4782,1,15,0
2517,0,328363,1,375,0
2517,328363,628060,0,379,1
2520,0,11787,0,17,0
2521,616206,617928,1,224,1
2521,675172,690991,0,432,1
2524,165381,745623,1,329,1
2527,113,1185,1,93,1
2527,1718045,1836931,0,87,1
2457,240,1629971,0,140,1
2458,0,177514,1,44,0
2463,0,8901,0,947,0
2537,0,563710,0,114,0
2530,743904,939262,1,14,1
2530,939262,1424367,1,14,1
2533,442864,587344,1,87,1
2550,58823,69012,1,67,1
2555,533441,572262,0,133,1
2574,743529,1024781,0,110,1
2578,1742211,1784316,0,91,1
2580,0,116769,1,59,0
2587,0,1357487,0,30,0
2589,0,1347544,0,7,0
2591,932470,993160,1,1377,1
2594,0,1781178,0,45,0
2597,64,56085,1,106,1
2600,1646658,1717377,1,539,1
2602,0,633906,0,27,0
2560,0,874463,0,38,0
2561,0,155907,0,6,0
2562,1115107,1176477,1,60,1
2612,469250,490664,0,138,1
2612,636497,954300,0,139,1
2612,1274181,1317338,1,144,1
2620,0,1284370,0,71,0
2567,0,252562,0,214,0
2628,0,85678,0,41,0
2629,726992,1189830,0,71,1
2632,149827,207815,1,2187,1
2632,347095,463768,1,2098,1
2632,463768,628487,1,1992,1
2633,1281221,1713710,0,5,1
2636,0,344336,0,84,0
2638,0,59495,1,203,0
2638,1470314,1814650,0,244,1
2639,470313,541854,1,719,1
2639,541854,556971,1,725,1
2639,667724,701641,1,753,1
2643,0,1410,0,65,0
2646,1109527,1341566,1,157,1
2647,914601,942048,1,2709,1
2648,646017,654486,1,2680,1
2648,728703,729216,1,2670,1
2648,766834,773845,1,2716,1
2648,898011,914642,0,2705,1
2652,743530,1024782,0,96,1
2653,0,646021,1,96,0
2654,1695730,1920612,0,824,1
2667,0,1908669,0,20,0
2671,197021,594841,1,729,1
2685,0,116809,1,1610,0
2685,168468,347156,1,1415,1
2685,375561,376967,0,1479,1
2688,1136108,1431451,0,64,1
2697,0,157697,0,326,0
2699,1456965,1799897,0,892,1
2568,0,836840,1,36,0
2568,1118928,1119636,1,35,1
2571,0,1629971,0,28,0
2705,0,190090,0,27,0
2705,190090,347250,1,27,0
2707,0,244945,1,249,0
2707,509773,630578,1,36,1
